Private School Name,State Name [Private School] Latest available year,State Name [Private School] 2015-16,Private School Name [Private School] 2015-16,County Name [Private School] 2015-16
ABUNDANT LIFE CHRISTIAN ACADEMY,NEVADA,NEVADA,ABUNDANT LIFE CHRISTIAN ACADEMY,CLARK
ABUNDANT LIFE CHRISTIAN LEARNING CENTER/NEW JERUSA,FLORIDA,FLORIDA,ABUNDANT LIFE CHRISTIAN LRNG CTR /NEW JERUSALEM,MIAMI-DADE
ABUNDANT LIFE CHRISTIAN SCHOOL,NEW JERSEY,NEW JERSEY,ABUNDANT LIFE CHRISTIAN SCHOOL,MORRIS
ABUNDANT LIFE CHRISTIAN SCHOOL,WEST VIRGINIA,WEST VIRGINIA,ABUNDANT LIFE CHRISTIAN SCHOOL,OHIO
ABUNDANT LIFE CHRISTIAN SCHOOL,SOUTH CAROLINA,SOUTH CAROLINA,ABUNDANT LIFE CHRISTIAN SCHOOL,GREENVILLE
ABUNDANT LIFE CHRISTIAN SCHOOL,NEW MEXICO,NEW MEXICO,ABUNDANT LIFE CHRISTIAN SCHOOL,BERNALILLO
ABUNDANT LIFE CHRISTIAN SCHOOL,WISCONSIN,WISCONSIN,ABUNDANT LIFE CHRISTIAN SCHOOL,DANE
ABUNDANT LIFE MINISTRIES,VIRGINIA,VIRGINIA,ABUNDANT LIFE MINISTRIES,VIRGINIA BEACH
ABUNDANT LIFE PRESCHOOL,INDIANA,INDIANA,ABUNDANT LIFE PRESCHOOL,MARION
ABUNDANT LIFE SCHOOL,ARKANSAS,ARKANSAS,ABUNDANT LIFE SCHOOL,PULASKI
ACACIA ACADEMY,ILLINOIS,ILLINOIS,ACACIA ACADEMY,COOK
ACACIA ACADEMY,INDIANA,INDIANA,ACACIA ACADEMY,HOWARD
ACACIAWOOD SCHOOL,CALIFORNIA,CALIFORNIA,ACACIAWOOD SCHOOL,ORANGE
ACADEME OF THE OAKS,GEORGIA,GEORGIA,ACADEME OF THE OAKS,DEKALB
ACADEMIA DE LA RECTA PORTA ICDS,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,ACADEMIA DE LA RECTA PORTA ICDS,DISTRICT OF COLUMBIA
ACADEMIA DE TALAR,CALIFORNIA,CALIFORNIA,ACADEMIA DE TALAR,SAN DIEGO
ACADEMIC HIGH SCHOOL,FLORIDA,FLORIDA,ACADEMIC HIGH SCHOOL,PALM BEACH
ACADEMIC ILLUMINATION DAY SCHOOL,NORTH CAROLINA,NORTH CAROLINA,ACADEMIC ILLUMINATION DAY SCHOOL,LINCOLN
ACADEMICS PLUS,GEORGIA,GEORGIA,ACADEMICS PLUS,COLUMBIA
ACADEMIE DE MONTESSORI,FLORIDA,FLORIDA,ACADEMIE DE MONTESSORI,DUVAL
ACADEMY AT FOXBOROUGH,MASSACHUSETTS,MASSACHUSETTS,LEGACY CHRISTIAN ACADEMY,BRISTOL
ACADEMY AT SOLSTICE,UTAH,UTAH,FERNWOOD ACADEMY,DAVIS
ACADEMY AT ST. SABINA,MISSOURI,MISSOURI,ACADEMY AT ST. SABINA,ST. LOUIS
ACADEMY AT THE LAKES,FLORIDA,FLORIDA,ACADEMY AT THE LAKES,PASCO
ACADEMY AT TRAILS CAROLINA,NORTH CAROLINA,NORTH CAROLINA,ACADEMY AT TRAILS CAROLINA,HENDERSON
ACADEMY FOR ACADEMIC EXCELLENCE,TENNESSEE,TENNESSEE,ACADEMY FOR ACADEMIC EXCELLENCE,MONTGOMERY
ACADEMY FOR ADVANCEMENT OF CHILDREN WITH A,CALIFORNIA,CALIFORNIA,ACADEMY FOR ADVANCEMENT OF CHILDREN WITH AUTISM,LOS ANGELES
ACADEMY FOR AUTISM,FLORIDA,FLORIDA,ACADEMY FOR AUTISM,ORANGE
ACADEMY FOR CHILDREN CHILDCARE,NORTH DAKOTA,NORTH DAKOTA,ACADEMY FOR CHILDREN,CASS
ACADEMY FOR IDEAL EDUCATION,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,ACADEMY FOR IDEAL EDUCATION,DISTRICT OF COLUMBIA
ACADEMY FOR INDIVIDUAL EXCELLENCE,KENTUCKY,KENTUCKY,ACADEMY FOR INDIVIDUAL EXCELLENCE,JEFFERSON
ACADEMY FOR KIDS,OREGON,OREGON,ACADEMY FOR KIDS,CLACKAMAS
ACADEMY FOR KIDS INCORPORATED,FLORIDA,FLORIDA,ACADEMY FOR KIDS INCORPORATED,OSCEOLA
ACADEMY FOR LEARNING,NEVADA,NEVADA,ACADEMY FOR LEARNING,CLARK
ACADEMY FOR PRECISION LEARNING,WASHINGTON,WASHINGTON,ACADEMY FOR PRECISION LEARNING,KING
ACADEMY FOR YOUNG LEARNERS INC,FLORIDA,FLORIDA,ACADEMY FOR YOUNG LEARNERS INC,MIAMI-DADE
ACADEMY HILL SCHOOL,MASSACHUSETTS,MASSACHUSETTS,ACADEMY HILL SCHOOL,HAMPDEN
