county_name,state,hwyprop,ryprop,rate_food_env_neg,pct_pub_transport_log,rate_al_pn_gm_env_log,rate_civic_env_log,rate_ed_env_log,rate_ent_env_log,rate_food_env_pos_log,rate_hc_env_log,rate_rec_env_log,rate_trans_env_log,fatal_rate_log,county_pop_2000,pct_rent_occ,pct_vac_units,med_hh_value,med_hh_inc,pct_pers_lt_pov,pct_no_eng,pct_hs_more,pct_unemp,med_rooms,work_out_co,pct_mt_10units_log,violent_rate_log
Perry County,AL,0.0084618,0.1586847,0.0004215,-1.049822,-9.287221,-8.269181,-7.927048,-11.16934,-6.378363,-6.618337,-11.13792,-12.05765,-6.375804,11861,26.2174,19.84832,47600,20200,35.4,2.5,62.4,14.7,5.2,49.2,0.3001046,6.28907
Pickens County,AL,0.0342114,0.1399121,0.0006206,-1.386294,-8.794925,-9.221452,-8.245831,-8.757356,-6.858299,-6.468952,-8.281134,-9.835829,-8.103595,20949,20.80139,15.06303,66000,26254,24.9,1.9,69.7,8.2,5.3,46.9,0.5007753,5.971828
Pike County,AL,0.0428367,0.1649554,0.0011485,-1.049822,-8.638231,-10.19934,-7.607826,-8.053144,-6.25543,-6.13522,-9.063214,-8.65244,-7.057939,29605,32.7998,14.64845,71400,25551,23.1,3.9,69.1,9.3,5.2,20.2,0.896088,6.143488
Randolph County,AL,0.0257783,0.0782569,0.0005362,-2.995732,-8.193662,-9.285118,-7.872318,-8.553857,-6.609801,-6.196253,-8.551526,-9.259531,-8.019909,22380,20.8748,15.97472,63800,28675,17,2.7,61.9,5.3,5.4,41.7,-0.4307829,6.422404
Russell County,AL,0.0631609,0.1537397,0.0012662,-0.1625189,-8.380043,-9.17213,-7.588875,-8.651297,-6.089474,-6.490263,-8.648726,-9.149245,-7.604007,49756,37.55129,13.53423,71500,27492,19.9,4,66.5,6.3,5.1,64.5,1.266948,6.090574
St. Clair County,AL,0.0558314,0.153071,0.0007105,-1.89712,-8.472698,-9.638127,-7.838272,-8.784419,-6.280588,-6.517979,-8.190951,-9.862346,-7.580414,64742,16.307,11.57382,99800,37285,12.1,2.1,71.3,4.2,5.5,61.7,0.2231435,5.168067
Shelby County,AL,0.0422586,0.1449209,0.0008374,-1.89712,-8.370499,-9.622906,-7.485701,-7.960152,-6.278827,-5.836737,-8.286677,-9.490054,-7.896751,143293,19.05695,7.876631,146700,55440,6.3,4.2,86.8,3,6,55.8,1.894617,4.18014
Sumter County,AL,0.076008,0.1408656,0.0008109,0.7654678,-7.790128,-9.552901,-7.607625,-8.809553,-6.290949,-6.655092,-8.434462,-9.519587,-7.771572,14798,27.66293,17.90594,54000,18911,38.7,2.1,64.8,11.5,5.1,31.3,1.515127,6.189995
Talladega County,AL,0.0344458,0.214414,0.000884,-0.2876821,-8.480379,-9.630487,-7.534834,-8.242976,-6.354215,-6.265244,-9.077997,-9.594533,-6.871471,80321,23.63891,11.00989,72200,31628,17.6,2.8,69.7,7.7,5.4,34.6,0.8109302,6.134428
Tallapoosa County,AL,0.0340813,0.1166665,0.0007474,-1.386294,-8.398078,-9.488798,-7.375442,-8.482792,-6.443455,-6.058695,-8.181614,-9.188579,-7.604409,41475,23.66114,18.79083,73600,30745,16.6,2.1,70.1,6.1,5.4,28.7,0.5007753,6.396363
Tuscaloosa County,AL,0.0656457,0.184204,0.0009098,-0.597837,-7.980992,-10.29816,-7.571441,-7.704487,-6.149804,-5.902118,-8.289859,-9.451138,-7.610448,164875,36.51596,9.676742,106600,34436,17,4.4,78.8,6.2,5.3,10.9,2.497329,6.308053
Walker County,AL,0.0498431,0.1353097,0.0007354,-1.386294,-7.96417,-10.9536,-8.04516,-8.394091,-6.406011,-5.978845,-8.331336,-10.28621,-7.334776,70713,19.99365,12.5027,66700,29076,16.5,2.2,67.2,6.4,5.4,37,0.1397619,1.186318
Washington County,AL,0.0613213,0.1241998,0.0003315,0.0487902,-9.038069,-12.59321,-8.571385,-11.16934,-6.771565,-6.745424,-11.13792,-9.059338,-6.953328,18097,11.82699,17.4566,63000,30815,18.5,2,72.3,7.7,5.4,48.1,-1.386294,6.34098
Wilcox County,AL,0,0.189107,0.0006068,-0.4307829,-8.352102,-12.59321,-8.289063,-9.315701,-6.110293,-6.494091,-8.702018,-12.05765,-6.905608,13183,16.72948,22.75594,52200,16646,39.9,2.8,59.5,15.2,5.3,36.9,-0.597837,6.29671
Winston County,AL,0.0161389,0.1077549,0.0008856,-1.386294,-9.329123,-12.59321,-8.399632,-8.910976,-6.262014,-6.233307,-7.996764,-9.984697,-7.778714,24843,19.98615,19.15693,60800,28435,17.1,2.6,62.6,6.3,5.2,28.7,-0.597837,5.99348
Aleutians East Bo,AK,0,0,0.0003708,0.1397619,-11.69925,-7.890734,-7.838018,-11.16934,-7.66961,-7.11521,-11.13792,-7.884327,-11.0398,2697,41.63498,27.34807,99500,47875,21.8,41.3,74.7,41.4,5,0.5,1.492904,1.186318
Aleutians West Ce,AK,0,0,0,1.178655,-11.69925,-12.59321,-8.484484,-11.16934,-7.096618,-9.552127,-11.13792,-8.574822,-11.0398,5465,72.20473,43.1513,93400,61406,11.9,39.1,78.5,12.7,4.4,7.6,2.446686,1.186318
Anchorage Borough,AK,0.0515663,0.1380343,0.0007953,0.7178398,-7.655993,-8.861834,-7.275708,-7.402708,-6.181705,-5.574347,-7.789282,-8.871728,-8.372011,260283,39.95803,5.525666,160700,55546,7.3,13.6,90.3,6.8,5.1,3.3,2.529721,6.472617
Bethel Census Are,AK,0,0,0.0003749,1.816452,-9.555652,-8.564311,-7.682221,-9.476913,-6.61099,-6.629707,-8.877088,-8.941841,-8.866396,16006,39.09134,18.54279,74900,35701,20.6,65.6,71,14.6,3.3,1.5,1.446919,1.186318
Bristol Bay Borou,AK,0,0,0,-2.995732,-6.035207,-12.59321,-10.65215,-11.16934,-5.721224,-5.728869,-6.032599,-12.05765,-11.0398,1258,48.97959,49.94893,139000,52167,9.5,4.2,88.9,10.5,4.1,1.4,1.294727,6.472617
Denali Borough,AK,0.1073267,0.0322891,0,1.938742,-7.530258,-6.849586,-7.502053,-6.152996,-5.900783,-6.403441,-7.518678,-7.534927,-11.0398,1893,35.28662,41.89489,103400,53654,7.9,7.7,91.7,11.6,3,12.3,1.658228,6.659924
Dillingham Census,AK,0,0,0,0.6678294,-8.461286,-7.397317,-10.65215,-7.774304,-7.256604,-6.164509,-7.773234,-6.704978,-7.095592,4922,39.37214,34.43396,105300,43079,21.4,36.3,76.6,11.5,4.2,2.4,1.011601,6.472617
Fairbanks N. Star,AK,0.0508869,0.087962,0.0006398,-0.2876821,-7.418914,-9.21039,-7.007741,-7.059625,-6.288039,-5.741593,-7.53577,-8.305313,-8.472459,82840,46.03217,10.55541,132700,49076,7.8,7.8,91.8,9.1,4.7,2.3,2.402431,6.822497
Haines Borough,AK,0,0.2585112,0.0012542,0.8544154,-7.760133,-12.59321,-7.058869,-5.37892,-5.276028,-5.809993,-7.06951,-7.766013,-11.0398,2392,30.27245,30.16209,133100,40772,10.7,3.9,88.9,13.7,3.9,6,1.115142,2.28493
Juneau Borough,AK,0,0.2318778,0.0003582,1.470176,-8.350832,-8.920698,-7.642663,-7.418248,-6.526856,-5.911342,-7.733634,-9.175939,-8.830194,30711,36.21242,6.016935,195100,62034,6,9.5,93.2,5.4,4.9,1.3,2.393339,1.186318
Kenai Peninsula B,AK,0,0.100286,0.0008653,-0.7985077,-7.275202,-9.171167,-7.171395,-7.036271,-5.895282,-5.779665,-7.266218,-8.304909,-7.323195,49691,26.34234,25.86547,118000,46397,10,7.5,88.5,11.4,4.5,7.3,1.321756,6.654734
Ketchikan Gateway,AK,0,0.0669481,0.0002843,0.9745597,-8.802212,-8.835369,-9.264269,-7.90336,-7.214688,-8.453514,-9.365241,-9.473004,-11.0398,14070,39.28505,13.17144,165000,51344,6.5,8.2,89.6,7.6,4.6,3.1,2.545531,2.28493
Kodiak Island Bor,AK,0,0,0.000575,0.2231435,-7.446809,-8.823752,-7.028625,-7.321757,-6.232365,-6.075216,-7.124482,-8.134315,-11.0398,13913,45.18535,14.24695,155100,54636,6.6,24.5,85.4,5.2,4.9,1.8,1.981001,6.472617
Lake and Peninsul,AK,0,0,0,-2.995732,-11.69925,-7.502153,-10.65215,-11.16934,-6.352951,-5.296729,-6.80191,-7.497805,-11.0398,1823,32.48299,62.23507,87400,36442,18.9,13.6,72.2,14.3,3.2,3.2,-1.89712,6.472617
Matanuska-Susitna,AK,0.1057508,0.1147317,0.000708,-0.4307829,-7.573287,-9.341645,-7.090777,-7.28114,-6.539923,-5.998832,-7.737983,-8.562191,-6.832602,59322,21.16171,24.7832,125800,51221,11,5.1,88.1,10.3,4.7,35.3,0.3001046,6.6524
Nome Census Area,AK,0,0,0.0005437,0.3715636,-7.501963,-8.417823,-7.474534,-9.004953,-6.495844,-6.441854,-8.368558,-7.506502,-8.362114,9196,41.77497,26.19896,77100,41250,17.4,28.8,74.8,16.4,3.4,2,1.321756,1.186318
North Slope Borou,AK,0,0,0.0001354,2.36556,-11.69925,-8.882512,-8.130402,-7.774542,-6.446856,-6.888983,-11.13792,-8.192938,-11.0398,7385,51.2091,16.90307,113300,63173,9.1,49.9,77.4,14.9,4.1,1.1,2.36556,6.663208
Northwest Arctic,AK,0,0,0.0002775,-0.597837,-11.69925,-12.59321,-8.107903,-8.786381,-6.842811,-7.00929,-8.138585,-12.05765,-11.0398,7208,43.70787,29.92126,89200,45976,17.4,41.9,72,15.6,3.6,0.6,1.536867,1.186318
Prince of Wales -,AK,0,0.1478851,0.0006508,0.1397619,-8.005268,-8.70295,-7.960295,-11.16934,-6.838043,-7.832961,-7.595616,-7.328435,-11.0398,6146,29.92927,25.95745,121800,40636,12.1,4.8,84.1,15,4.2,4.3,0.6151856,2.28493
Sitka Borough,AK,0,0,0,-0.597837,-11.69925,-12.59321,-10.65215,-11.16934,-9.251163,-9.552127,-11.13792,-12.05765,-8.324715,8835,41.8853,10.19178,196500,51901,7.8,9.6,90.6,7.8,4.7,2.8,1.294727,2.28493
